"","Entity","Disasters","Impact","Count"
"122","Lower middle income","Fog","Homeless",0
"123","Lower middle income","Fog","Death",0
"124","Lower middle income","Fog","Injured",0
"125","Lower middle income","Wildfires","Affected",0.0636468569166667
"126","Lower middle income","Wildfires","Homeless",0.0636468569166667
"127","Lower middle income","Wildfires","Death",0.000206
"128","Lower middle income","Wildfires","Injured",0.000261
"129","Lower middle income","GlacialLakeOutbursts","Affected",NA
"130","Lower middle income","GlacialLakeOutbursts","Homeless",NA
"131","Lower middle income","GlacialLakeOutbursts","Death",0
"132","Lower middle income","GlacialLakeOutbursts","Injured",0
"133","Lower middle income","Landslides","Affected",0.575333739166667
"134","Lower middle income","Landslides","Homeless",0.575333739166667
"135","Lower middle income","Landslides","Death",0.015879
"136","Lower middle income","Landslides","Injured",0.002192
"137","Lower middle income","VolcanicActivities","Affected",1.22271485966667
"138","Lower middle income","VolcanicActivities","Homeless",1.22271485966667
"139","Lower middle income","VolcanicActivities","Death",0.008316
"140","Lower middle income","VolcanicActivities","Injured",0.001737
"141","Lower middle income","MassMovements","Affected",0.000626327166666667
"142","Lower middle income","MassMovements","Homeless",0.000626327166666667
"143","Lower middle income","MassMovements","Death",0.000912
"144","Lower middle income","MassMovements","Injured",7.2e-05
"145","Upper middle income","Total","Affected",1289.00493072275
"146","Upper middle income","Total","Homeless",1289.00493072275
"147","Upper middle income","Total","Death",11.858022
"148","Upper middle income","Total","Injured",4.704859
"149","Upper middle income","Drought","Affected",269.130498651667
"150","Upper middle income","Drought","Homeless",269.130498651667
"151","Upper middle income","Drought","Death",3.512959
"152","Upper middle income","Drought","Injured",3.2e-05
"153","Upper middle income","Earthquakes","Affected",37.2953061523333
"154","Upper middle income","Earthquakes","Homeless",37.2953061523333
"155","Upper middle income","Earthquakes","Death",1.260569
"156","Upper middle income","Earthquakes","Injured",1.486875
"157","Upper middle income","Floods","Affected",768.281112738333
"158","Upper middle income","Floods","Homeless",768.281112738333
"159","Upper middle income","Floods","Death",6.739616
"160","Upper middle income","Floods","Injured",1.122801
"161","Upper middle income","Storms","Affected",176.664899152167
"162","Upper middle income","Storms","Homeless",176.664899152167
"163","Upper middle income","Storms","Death",0.205171
"164","Upper middle income","Storms","Injured",0.218708
"165","Upper middle income","ExtremeTemperature","Affected",27.52299882775
"166","Upper middle income","ExtremeTemperature","Homeless",27.52299882775
"167","Upper middle income","ExtremeTemperature","Death",0.062783
"168","Upper middle income","ExtremeTemperature","Injured",1.838983
"169","Upper middle income","Fog","Affected",0
"170","Upper middle income","Fog","Homeless",0
"171","Upper middle income","Fog","Death",0
"172","Upper middle income","Fog","Injured",0
"173","Upper middle income","Wildfires","Affected",4.60212483075
"174","Upper middle income","Wildfires","Homeless",4.60212483075
"175","Upper middle income","Wildfires","Death",0.001145
"176","Upper middle income","Wildfires","Injured",0.005859
"177","Upper middle income","GlacialLakeOutbursts","Affected",NA
"178","Upper middle income","GlacialLakeOutbursts","Homeless",NA
"179","Upper middle income","GlacialLakeOutbursts","Death",0
"180","Upper middle income","GlacialLakeOutbursts","Injured",0
"181","Upper middle income","Landslides","Affected",3.75114544125
"182","Upper middle income","Landslides","Homeless",3.75114544125
"183","Upper middle income","Landslides","Death",0.026042
"184","Upper middle income","Landslides","Injured",0.007733
"185","Upper middle income","VolcanicActivities","Affected",1.752906086
"186","Upper middle income","VolcanicActivities","Homeless",1.752906086
"187","Upper middle income","VolcanicActivities","Death",0.046347
"188","Upper middle income","VolcanicActivities","Injured",0.023578
"189","Upper middle income","MassMovements","Affected",0.0039388095
"190","Upper middle income","MassMovements","Homeless",0.0039388095
"191","Upper middle income","MassMovements","Death",0.00339
"192","Upper middle income","MassMovements","Injured",0.00029
